,year,ccode,GDP,log_GDP,GDP_growth,Country,PDebt,LTrate,rminusg,population,log_population,pop_growth,CAbalance,rgNegative,primaryFB,outputgap,real_GDP_growth,ka_open,finreform,inflation,geopoliticalRisk,VIX,REER,TaxRevenue,FiscalBalance,Freedom_Index_overall,Freedom_Index_Property_Rights,lengthRGepisode,InitialPDebtRGepisode,YNRGepisode,EuroMembership,BankingCrisis,EuroCrisis,PeripheryEuroCrisis,EuroCrisis2012,GDP_World_Bank,Net_foreign_assets_World_Bank,World_GDP,LTrate_Germany,LTrate_USA,kof_econ,kof_trade,kof_financial,PeripheryEuroCrisis20082015,EuroCrisis20082015,Post2007,safe_haven_past,lead_rminusg_1,lead_rminusg_2,lead_rminusg_3,lead_rminusg_4,lead_rminusg_5,lead_rminusg_6,lead_rminusg_7,lead_rminusg_8,lead_rminusg_9,lead_rminusg_10,EuroCrisis20082012,Standalone20102012,Standalone20082012,Standalone20082015,kof_financial_df,kof_financial_dj,safe_Germany,safe_USA,safe_benchmark,Inflation_difference_Germany,Inflation_difference_USA,spread_Germany,rminusg_future3,rminusg_future5,rminusg_future10,LTrate_future3,LTrate_future5,LTrate_future10,GDP_growth_future3,GDP_growth_future5,GDP_growth_future10,PDebt_future3,PDebt_future5,PDebt_future10,Eurozone
1,1960,AUS,25034.74,10.12801974,NA,Australia,NA,NA,NA,10276477,16.14536805,NA,NA,NA,NA,NA,NA,NA,NA,3.728813559,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,18577668272,8.28E+08,1.38E+12,6.425,4.116667,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,2.192201999,2.270837573,NA,NA,NA,-5.295184673,NA,NA,6.646667,6.456946656,6.408055843,8.529318117,NA,NA,NA,0
2,1961,AUS,25326.382,10.1396019,1.158215896,Australia,NA,NA,NA,10483000,16.16526546,1.989740046,NA,NA,NA,NA,2.485769492,NA,NA,2.287581699,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,19652816665,1049544658,1.44E+12,5.875,3.8825,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,-0.006094097,1.216857551,NA,NA,NA,-3.583921909,NA,NA,6.68,8.511974649,8.264393572,9.272095741,NA,NA,NA,0
3,1962,AUS,27913.206,10.23685519,9.725329095,Australia,NA,NA,NA,10742000,16.18967185,2.440639401,NA,NA,NA,NA,1.296087352,NA,NA,-0.319488818,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,19892485161,1.21E+09,1.55E+12,5.908333,3.945833,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,-3.162768904,-1.518262166,NA,NA,NA,-3.267785574,NA,NA,6.397222,7.052244741,7.691402059,9.146280722,NA,NA,NA,0
4,1963,AUS,30385.723,10.32172814,8.487294977,Australia,NA,NA,NA,10950000,16.20885001,1.917816478,NA,NA,NA,NA,6.214630395,NA,NA,0.641025641,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,21507447643,1.62E+09,1.67E+12,6.05,4.0025,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,-2.325935222,-0.59864378,NA,NA,NA,-3.760405725,NA,NA,6.53124975,7.703114596,8.504614241,9.514711143,NA,NA,NA,0
5,1964,AUS,32694.467,10.39496114,7.323299875,Australia,NA,NA,NA,11167000,16.22847356,1.96235442,NA,NA,NA,NA,6.978522159,NA,NA,2.866242038,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,23764139321,1.73E+09,1.82E+12,6.233333,4.186666,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0.530513943,1.587330473,NA,NA,NA,-3.014394061,NA,NA,7.0323332,7.548805148,9.33143793,9.689082595,NA,NA,NA,0
6,1965,AUS,34489.925,10.44842253,5.346139371,Australia,NA,NA,NA,11388000,16.24807073,1.959716895,NA,NA,NA,NA,5.983505989,NA,NA,3.405572755,NA,NA,NA,5.625,NA,NA,NA,0,0,0,0,0,0,0,0,25936835032,1.34E+09,1.99E+12,7.05,4.2825,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0.16324337,1.820403491,NA,NA,-5.295184673,-2.806454456,NA,6.646667,7.483888833,9.951210653,10.65058039,10.305311,NA,NA,NA,0
7,1966,AUS,38285.311,10.55282158,10.43990454,Australia,NA,NA,NA,11651000,16.27090257,2.283184382,NA,NA,NA,NA,2.382458423,NA,NA,3.293413174,NA,NA,NA,5.997,NA,NA,NA,0,0,0,0,0,0,0,0,27268451114,1.41E+09,2.16E+12,8.125,4.923333,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,-0.239645404,0.278337797,NA,NA,-3.583921909,-2.029067603,NA,6.68,7.847737571,10.29038191,10.27979791,10.0008782,NA,NA,NA,0
8,1967,AUS,41004.016,10.62142529,6.860371531,Australia,NA,NA,NA,11799000,16.28352534,1.262276888,NA,NA,NA,NA,6.30262019,NA,NA,3.47826087,NA,NA,NA,6.631,NA,NA,NA,0,0,0,0,0,0,0,0,30397580916,1.29E+09,2.29E+12,6.958333,5.073333,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1.682215363,0.705475247,NA,-5.295184673,-3.267785574,-1.195102198,6.646667,6.397222,8.145104125,11.98420863,10.60115939,9.873242479,NA,NA,NA,0
9,1968,AUS,46488.435,10.74695885,12.55335589,Australia,NA,NA,NA,12009000,16.30116693,1.764158656,NA,NA,NA,NA,5.0958138,NA,NA,2.521008403,NA,NA,NA,7.41,NA,NA,NA,0,0,0,0,0,0,0,0,32665472057,1.37E+09,2.48E+12,6.45,5.645833,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1.050704011,-1.75078775,NA,-3.583921909,-3.760405725,-1.299425621,6.68,6.53124975,8.246759222,10.66175405,10.52480804,9.737308191,NA,NA,NA,0
10,1969,AUS,52131.937,10.86153303,11.45741832,Australia,NA,NA,NA,12263000,16.32209716,2.09302301,NA,NA,NA,NA,7.044329321,NA,NA,3.278688525,NA,NA,NA,8.478,NA,NA,NA,0,0,0,0,0,0,0,0,36628961810,1.33E+09,2.73E+12,6.841667,6.670833,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1.366024579,-2.183697675,NA,-3.267785574,-3.014394061,-1.316026671,6.397222,7.0323332,8.3969999,9.665007574,10.04672726,9.713026571,NA,NA,NA,0
